datetime_UTC;PT;PL
01-01-2019 00:00;468.13;468.13
01-01-2019 00:04;468.13;468.13
01-01-2019 00:08;468.13;468.13
01-01-2019 00:12;468.13;468.13
01-01-2019 00:16;468.13;468.13
01-01-2019 00:20;468.13;468.13
01-01-2019 00:24;468.13;468.13
01-01-2019 00:28;468.13;468.13
01-01-2019 00:32;468.13;468.13
01-01-2019 00:36;468.13;468.13
01-01-2019 00:40;468.13;468.13
01-01-2019 00:44;468.13;468.13
01-01-2019 00:48;468.13;468.13
01-01-2019 00:52;468.13;468.13
01-01-2019 00:56;468.13;468.13
01-01-2019 01:00;468.13;468.13
01-01-2019 01:04;468.13;468.13
01-01-2019 01:08;468.13;468.13
01-01-2019 01:12;468.13;468.13
01-01-2019 01:16;468.13;468.13
01-01-2019 01:20;468.13;468.13
01-01-2019 01:24;468.13;468.13
01-01-2019 01:28;468.13;468.13
01-01-2019 01:32;468.13;468.13
01-01-2019 01:36;468.13;468.13
01-01-2019 01:40;468.13;468.13
01-01-2019 01:44;468.13;468.13
01-01-2019 01:48;468.13;468.13
01-01-2019 01:52;468.13;468.13
01-01-2019 01:56;468.13;468.13
01-01-2019 02:00;468.13;468.13
01-01-2019 02:04;468.13;468.13
01-01-2019 02:08;468.13;468.13
01-01-2019 02:12;468.13;468.13
01-01-2019 02:16;468.13;468.13
01-01-2019 02:20;468.13;468.13
01-01-2019 02:24;468.13;468.13
01-01-2019 02:28;468.13;468.13
01-01-2019 02:32;468.13;468.13
01-01-2019 02:36;468.13;468.13
01-01-2019 02:40;468.13;468.13
01-01-2019 02:44;468.13;468.13
01-01-2019 02:48;468.13;468.13
01-01-2019 02:52;468.13;468.13
01-01-2019 02:56;468.13;468.13
01-01-2019 03:00;468.13;468.13
01-01-2019 03:04;468.13;468.13
01-01-2019 03:08;468.13;468.13
01-01-2019 03:12;468.13;468.13
01-01-2019 03:16;468.13;468.13
01-01-2019 03:20;468.13;468.13
01-01-2019 03:24;468.13;468.13
01-01-2019 03:28;468.13;468.13
01-01-2019 03:32;468.13;468.13
01-01-2019 03:36;468.13;468.13
01-01-2019 03:40;468.13;468.13
01-01-2019 03:44;468.13;468.13
01-01-2019 03:48;468.13;468.13
01-01-2019 03:52;468.13;468.13
01-01-2019 03:56;468.13;468.13
01-01-2019 04:00;468.13;468.13
01-01-2019 04:04;461.71;461.71
01-01-2019 04:08;455.29;455.29
01-01-2019 04:12;449.97;449.97
01-01-2019 04:16;444.64;444.64
01-01-2019 04:20;434;434
01-01-2019 04:24;428.67;428.67
01-01-2019 04:28;423.35;423.35
01-01-2019 04:32;419.93;419.93
01-01-2019 04:36;416.51;416.51
01-01-2019 04:40;409.68;409.68
01-01-2019 04:44;406.26;406.26
01-01-2019 04:48;402.84;402.84
01-01-2019 04:52;401.57;401.57
01-01-2019 04:56;400.3;400.3
01-01-2019 05:00;397.76;397.76
01-01-2019 05:04;397.13;397.13
01-01-2019 05:08;396.49;396.49
01-01-2019 05:12;395.86;395.86
01-01-2019 05:16;404.11;395.22
01-01-2019 05:20;406.46;395.62
01-01-2019 05:24;408.16;396.01
01-01-2019 05:28;410.26;396.81
01-01-2019 05:32;411.76;397.01
