datetime_UTC;PT;PL
01-01-2019 00:51;466.26;466.26
01-01-2019 00:59;466.26;466.26
01-01-2019 01:03;466.26;466.26
01-01-2019 01:08;466.26;466.26
01-01-2019 01:27;489.15;489.15
01-01-2019 01:44;512.03;512.03
01-01-2019 01:44;509.53;509.53
01-01-2019 01:57;507.03;507.03
01-01-2019 02:04;504.52;504.52
01-01-2019 02:18;502.02;502.02
01-01-2019 02:20;492.01;492.01
01-01-2019 02:21;482.71;482.71
01-01-2019 02:38;473.41;473.41
01-01-2019 02:41;464.12;464.12
01-01-2019 02:53;454.82;454.82
01-01-2019 02:54;445.52;445.52
01-01-2019 02:56;436.22;436.22
01-01-2019 02:57;428.27;428.27
01-01-2019 03:12;420.33;420.33
01-01-2019 03:17;412.38;412.38
01-01-2019 03:29;404.43;404.43
01-01-2019 03:32;388.54;388.54
01-01-2019 03:34;381.79;381.79
01-01-2019 03:48;375.03;375.03
01-01-2019 03:54;368.28;368.28
01-01-2019 04:05;361.52;361.52
01-01-2019 04:08;348.01;348.01
01-01-2019 04:10;341.73;341.73
01-01-2019 04:24;335.45;335.45
01-01-2019 04:30;329.18;329.18
01-01-2019 04:41;322.9;322.9
01-01-2019 04:44;310.34;310.34
01-01-2019 04:47;306.53;306.53
01-01-2019 04:48;302.71;302.71
01-01-2019 04:58;298.9;298.9
01-01-2019 05:00;303.74;295.08
01-01-2019 05:07;296.92;287.46
01-01-2019 05:17;289.68;279.83
01-01-2019 05:20;274.82;264.57
01-01-2019 05:20;271.12;260.48
01-01-2019 05:23;268.21;256.39
01-01-2019 05:33;265.3;252.29
01-01-2019 05:36;261.8;248.2
01-01-2019 05:39;258.3;244.11
01-01-2019 05:43;255.39;240.02
01-01-2019 05:51;239.43;235.92
01-01-2019 05:53;231.39;231.83
01-01-2019 05:56;211.07;215.46
01-01-2019 05:58;204.6;212.95
01-01-2019 06:02;190.24;210.44
01-01-2019 06:06;175.87;207.93
01-01-2019 06:08;151.3;205.41
01-01-2019 06:12;137.76;202.9
01-01-2019 06:14;124.95;201.11
01-01-2019 06:15;101.1;199.32
01-01-2019 06:18;77.25;197.52
01-01-2019 06:20;53.41;195.73
01-01-2019 06:24;28.3;193.93
01-01-2019 06:26;3.2;192.14
01-01-2019 06:29;-6.36;190.35
01-01-2019 06:32;-26.69;177.79
01-01-2019 06:33;-38.18;174.07
01-01-2019 06:34;-65.22;170.34
01-01-2019 06:39;-99.11;166.62
01-01-2019 06:40;-133;162.9
01-01-2019 06:44;-166.9;159.17
01-01-2019 06:47;-176.12;155.45
01-01-2019 06:48;-182.59;151.73
01-01-2019 06:53;-190.57;146.51
01-01-2019 07:02;-201.28;141.3
01-01-2019 07:03;-211.99;136.09
01-01-2019 07:04;-184.1;130.88
01-01-2019 07:05;-178.28;125.66
01-01-2019 07:08;-193.31;99.6
01-01-2019 07:15;-197.03;84.84
01-01-2019 07:18;-195.24;70.08
01-01-2019 07:23;-193.45;55.32
01-01-2019 07:24;-199.92;40.57
01-01-2019 07:26;-203.45;28.76
01-01-2019 07:27;-198.71;16.95
01-01-2019 07:30;-190.9;5.14
01-01-2019 07:34;-183.09;-6.66
01-01-2019 07:39;-175.28;-18.47
01-01-2019 07:41;-204.12;-46.5
01-01-2019 07:44;-232.96;-74.53
01-01-2019 07:47;-238.44;-79.2
01-01-2019 07:56;-245.55;-83.87
01-01-2019 07:56;-252.65;-88.54
01-01-2019 07:57;-276.92;-93.21
01-01-2019 07:59;-301.19;-97.88
01-01-2019 08:00;-315.66;-102.55
01-01-2019 08:04;-339.48;-116.57
01-01-2019 08:05;-385.3;-130.58
01-01-2019 08:06;-426.54;-140.02
01-01-2019 08:14;-519.41;-149.47
01-01-2019 08:14;-569.49;-158.91
01-01-2019 08:15;-599.24;-168.35
01-01-2019 08:15;-632.15;-180.94
01-01-2019 08:18;-674.03;-193.54
01-01-2019 08:20;-701.26;-206.13
01-01-2019 08:21;-722.18;-212.42
01-01-2019 08:23;-757.76;-218.72
01-01-2019 08:25;-849.14;-225.01
01-01-2019 08:27;-901.12;-231.31
01-01-2019 08:28;-953.09;-237.6
01-01-2019 08:30;-1003.32;-243.9
01-01-2019 08:35;-1061.56;-258.22
01-01-2019 08:36;-1102.96;-272.54
01-01-2019 08:37;-1139.59;-282.09
01-01-2019 08:39;-1176.22;-291.64
01-01-2019 08:44;-1209.66;-301.19
01-01-2019 08:45;-1240.71;-308.35
01-01-2019 08:49;-1295.65;-315.51
01-01-2019 08:54;-1307.7;-322.67
01-01-2019 08:56;-1316.49;-329.83
01-01-2019 08:57;-1346.76;-358.47
01-01-2019 08:59;-1356.27;-366.35
01-01-2019 09:03;-1369.04;-374.23
01-01-2019 09:09;-1364.66;-382.11
01-01-2019 09:12;-1376.04;-405.75
01-01-2019 09:13;-1368.5;-410.47
01-01-2019 09:14;-1336.44;-415.2
01-01-2019 09:21;-1272.61;-419.93
01-01-2019 09:25;-1231.99;-424.66
01-01-2019 09:29;-1221.59;-429.38
01-01-2019 09:32;-1230.11;-453.02
01-01-2019 09:32;-1217.66;-455.69
01-01-2019 09:35;-1174.98;-458.36
01-01-2019 09:36;-1099.59;-461.03
01-01-2019 09:46;-1024.19;-463.7
01-01-2019 09:48;-1006.81;-466.37
01-01-2019 09:50;-991.21;-470.82
01-01-2019 09:54;-955.55;-475.27
01-01-2019 09:56;-945.25;-479.72
01-01-2019 09:59;-933.17;-482.39
01-01-2019 10:03;-906.34;-485.06
01-01-2019 10:04;-879.51;-487.73
01-01-2019 10:06;-852.68;-490.4
01-01-2019 10:08;-839.33;-493.07
01-01-2019 10:18;-821.37;-491.13
01-01-2019 10:19;-787.38;-489.19
01-01-2019 10:21;-753.4;-487.25
01-01-2019 10:22;-703.91;-485.31
01-01-2019 10:24;-686.11;-483.37
01-01-2019 10:26;-660.57;-473.68
01-01-2019 10:30;-642.78;-471.74
01-01-2019 10:34;-608.96;-469.8
01-01-2019 10:39;-575.15;-467.86
01-01-2019 10:42;-541.33;-465.92
01-01-2019 10:44;-518.97;-463.98
01-01-2019 10:56;-494.42;-459.85
01-01-2019 10:59;-480.07;-455.72
01-01-2019 10:59;-465.73;-451.59
01-01-2019 11:00;-451.38;-447.45
01-01-2019 11:02;-438.42;-444.7
01-01-2019 11:18;-413.95;-441.94
01-01-2019 11:20;-400.35;-439.19
01-01-2019 11:21;-388.03;-437.72
01-01-2019 11:24;-398.88;-436.25
01-01-2019 11:30;-409.73;-434.78
01-01-2019 11:33;-412.37;-433.31
01-01-2019 11:36;-410.59;-427.43
01-01-2019 11:39;-412.74;-425.47
01-01-2019 11:55;-414.96;-423.51
01-01-2019 11:56;-421.55;-421.55
01-01-2019 12:09;-419.48;-419.48
01-01-2019 12:12;-417.42;-417.42
01-01-2019 12:15;-416.38;-416.38
01-01-2019 12:32;-415.35;-415.35
01-01-2019 12:45;-396.33;-396.33
01-01-2019 12:48;-377.31;-377.31
01-01-2019 12:51;-367.8;-367.8
01-01-2019 13:05;-358.29;-358.29
01-01-2019 13:08;-328.2;-328.2
01-01-2019 13:08;-313.15;-313.15
01-01-2019 13:21;-298.1;-298.1
01-01-2019 13:24;-268.01;-268.01
01-01-2019 13:28;-252.96;-252.96
01-01-2019 13:31;-237.91;-237.91
01-01-2019 13:44;-203.44;-203.44
01-01-2019 13:45;-191.95;-191.95
01-01-2019 13:54;-180.47;-180.47
01-01-2019 13:57;-168.98;-168.98
01-01-2019 13:58;-134.51;-134.51
01-01-2019 14:00;-119.25;-119.25
01-01-2019 14:05;-111.63;-111.63
01-01-2019 14:20;-104;-104
01-01-2019 14:21;-96.37;-96.37
01-01-2019 14:33;-88.74;-88.74
01-01-2019 14:36;-68.08;-68.08
01-01-2019 14:41;-57.75;-57.75
01-01-2019 14:56;-47.42;-47.42
01-01-2019 14:58;-37.09;-37.09
01-01-2019 15:09;-26.76;-26.76
01-01-2019 15:12;9.16;9.16
01-01-2019 15:18;27.12;27.12
01-01-2019 15:32;45.08;45.08
01-01-2019 15:35;63.04;63.04
01-01-2019 15:45;81;81
01-01-2019 15:48;108.18;108.18
01-01-2019 15:54;121.77;121.77
01-01-2019 16:08;135.36;135.36
01-01-2019 16:11;148.95;148.95
01-01-2019 16:21;162.54;162.54
01-01-2019 16:24;191.5;191.5
01-01-2019 16:31;205.98;205.98
01-01-2019 16:44;220.45;220.45
01-01-2019 16:47;234.93;234.93
01-01-2019 16:55;249.41;249.41
01-01-2019 16:57;278.25;278.25
01-01-2019 16:59;307.08;307.08
01-01-2019 17:07;321.5;321.5
01-01-2019 17:20;335.92;335.92
01-01-2019 17:23;364.75;364.75
01-01-2019 17:24;384.47;384.47
01-01-2019 17:29;404.19;404.19
01-01-2019 17:33;443.63;443.63
01-01-2019 17:44;463.35;463.35
01-01-2019 17:47;483.07;483.07
01-01-2019 17:55;514.92;514.92
01-01-2019 17:56;546.77;546.77
01-01-2019 17:57;557.39;557.39
01-01-2019 18:00;568;568
01-01-2019 18:08;578.62;578.62
01-01-2019 18:09;625.79;625.79
01-01-2019 18:20;649.38;649.38
01-01-2019 18:25;672.96;672.96
01-01-2019 18:29;704.32;704.32
01-01-2019 18:35;735.69;735.69
01-01-2019 18:37;751.37;751.37
01-01-2019 18:46;767.05;767.05
01-01-2019 18:53;798.41;798.41
01-01-2019 18:57;818.84;818.84
01-01-2019 19:05;839.28;839.28
01-01-2019 19:08;880.14;880.14
01-01-2019 19:14;900.58;900.58
01-01-2019 19:19;921.01;921.01
01-01-2019 19:21;950.84;950.84
01-01-2019 19:33;965.76;965.76
01-01-2019 19:40;980.67;980.67
01-01-2019 19:41;1010.5;1010.5
01-01-2019 19:50;1040.33;1040.33
01-01-2019 19:55;1046.89;1046.89
01-01-2019 19:57;1053.44;1053.44
01-01-2019 20:10;1060;1060
01-01-2019 20:16;1066.56;1066.56
01-01-2019 20:20;1079.67;1079.67
01-01-2019 20:26;1092.78;1092.78
01-01-2019 20:27;1089.74;1089.74
01-01-2019 20:33;1086.7;1086.7
01-01-2019 20:47;1083.66;1083.66
01-01-2019 20:52;1080.62;1080.62
01-01-2019 20:56;1074.54;1074.54
01-01-2019 21:02;1078.29;1068.46
01-01-2019 21:03;1072.92;1061.75
01-01-2019 21:05;1071.58;1055.03
01-01-2019 21:09;1067.56;1048.32
01-01-2019 21:12;1065.21;1043.28
01-01-2019 21:23;1067.55;1038.24
01-01-2019 21:26;1069.89;1033.21
01-01-2019 21:28;1067.31;1028.17
01-01-2019 21:32;1049.63;1008.03
01-01-2019 21:38;1042.01;997.95
01-01-2019 21:38;1022.34;987.88
01-01-2019 21:42;1001.02;976.16
01-01-2019 21:45;979.7;964.44
01-01-2019 21:53;962.29;956.63
01-01-2019 22:00;935.28;948.82
01-01-2019 22:04;871.75;941.01
01-01-2019 22:08;820.46;917.57
01-01-2019 22:09;780.88;905.85
01-01-2019 22:09;742.21;894.13
01-01-2019 22:15;699.91;878.79
01-01-2019 22:16;657.63;863.46
01-01-2019 22:18;601.85;848.12
01-01-2019 22:21;566.3;832.78
01-01-2019 22:22;538.41;825.11
01-01-2019 22:26;490.3;817.44
01-01-2019 22:27;442.2;809.77
01-01-2019 22:29;386.05;802.11
01-01-2019 22:32;329.9;794.44
01-01-2019 22:33;295.74;786.77
01-01-2019 22:36;261.59;779.1
01-01-2019 22:39;245.09;771.43
01-01-2019 22:40;215.93;751.1
01-01-2019 22:41;196.93;740.93
01-01-2019 22:42;168.5;730.76
01-01-2019 22:45;146.16;726.69
01-01-2019 22:51;105.58;722.63
01-01-2019 22:53;88.54;718.56
01-01-2019 22:55;71.5;714.49
01-01-2019 22:57;60.95;710.43
01-01-2019 22:57;50.4;706.36
01-01-2019 23:04;33.36;702.29
01-01-2019 23:07;44.01;698.22
01-01-2019 23:12;54.66;694.16
01-01-2019 23:16;57.95;690.09
01-01-2019 23:17;62.24;687.02
01-01-2019 23:18;75.54;683.94
01-01-2019 23:20;80.66;680.87
01-01-2019 23:23;86.55;678.57
01-01-2019 23:29;101.68;676.26
01-01-2019 23:30;116.81;673.96
01-01-2019 23:33;123.22;671.65
01-01-2019 23:36;130.1;669.81
01-01-2019 23:39;145.69;667.96
01-01-2019 23:41;161.28;666.12
01-01-2019 23:44;176.87;664.27
01-01-2019 23:45;192.18;662.43
01-01-2019 23:46;209.33;662.43
01-01-2019 23:47;220.77;662.43
01-01-2019 23:49;232.2;662.43
01-01-2019 23:55;243.64;662.43
01-01-2019 23:56;243.64;662.43
01-01-2019 23:57;243.64;662.43
01-01-2019 23:59;243.64;662.43
