time,balance
2019-01-01 00:00:00,0.0
2019-01-01 00:04:00,0.0
2019-01-01 00:08:00,0.0
2019-01-01 00:12:00,0.0
2019-01-01 00:16:00,0.0
2019-01-01 00:20:00,0.0
2019-01-01 00:24:00,0.0
2019-01-01 00:28:00,0.0
2019-01-01 00:32:00,0.0
2019-01-01 00:36:00,0.0
2019-01-01 00:40:00,0.0
2019-01-01 00:44:00,0.0
2019-01-01 00:48:00,0.0
2019-01-01 00:52:00,0.0
2019-01-01 00:56:00,0.0
2019-01-01 01:00:00,0.0
2019-01-01 01:04:00,0.0
2019-01-01 01:08:00,0.0
2019-01-01 01:12:00,0.0
2019-01-01 01:16:00,0.0
2019-01-01 01:20:00,0.0
2019-01-01 01:24:00,0.0
2019-01-01 01:28:00,0.0
2019-01-01 01:32:00,0.0
2019-01-01 01:36:00,0.0
2019-01-01 01:40:00,0.0
2019-01-01 01:44:00,0.0
2019-01-01 01:48:00,0.0
2019-01-01 01:52:00,0.0
2019-01-01 01:56:00,0.0
2019-01-01 02:00:00,0.0
2019-01-01 02:04:00,0.0
2019-01-01 02:08:00,0.0
2019-01-01 02:12:00,0.0
2019-01-01 02:16:00,0.0
2019-01-01 02:20:00,0.0
2019-01-01 02:24:00,0.0
2019-01-01 02:28:00,0.0
2019-01-01 02:32:00,0.0
2019-01-01 02:36:00,0.0
2019-01-01 02:40:00,0.0
2019-01-01 02:44:00,0.0
2019-01-01 02:48:00,0.0
2019-01-01 02:52:00,0.0
2019-01-01 02:56:00,0.0
2019-01-01 03:00:00,0.0
2019-01-01 03:04:00,0.0
2019-01-01 03:08:00,0.0
2019-01-01 03:12:00,0.0
2019-01-01 03:16:00,0.0
2019-01-01 03:20:00,0.0
2019-01-01 03:24:00,0.0
2019-01-01 03:28:00,0.0
2019-01-01 03:32:00,0.0
2019-01-01 03:36:00,0.0
2019-01-01 03:40:00,0.0
2019-01-01 03:44:00,0.0
2019-01-01 03:48:00,0.0
2019-01-01 03:52:00,0.0
2019-01-01 03:56:00,0.0
2019-01-01 04:00:00,0.0
2019-01-01 04:04:00,0.0
2019-01-01 04:08:00,0.0
2019-01-01 04:12:00,0.0
2019-01-01 04:16:00,0.0
2019-01-01 04:20:00,0.0
2019-01-01 04:24:00,0.0
2019-01-01 04:28:00,0.0
2019-01-01 04:32:00,0.0
2019-01-01 04:36:00,0.0
2019-01-01 04:40:00,0.0
2019-01-01 04:44:00,0.0
2019-01-01 04:48:00,0.0
2019-01-01 04:52:00,0.0
2019-01-01 04:56:00,0.0
2019-01-01 05:00:00,0.0
2019-01-01 05:04:00,0.0
2019-01-01 05:08:00,0.0
2019-01-01 05:12:00,0.0
2019-01-01 05:16:00,0.0
2019-01-01 05:20:00,0.0
2019-01-01 05:24:00,0.0
